Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2028,Flat/Unit,3 Bedrooms,1131,1398,1850,s,141,7.50%,19.96%,50.00%,-40.00%
2029,Total,Total,700,850,1300,135,"1,915",-6.59%,27.82%,-1.46%,2.27%
2029,Total,1 Bedroom,550,625,700,s,307,8.23%,21.36%,68.75%,-15.62%
2029,Total,2 Bedrooms,725,800,925,65,"1,099",-2.44%,15.11%,-1.52%,-9.72%
2029,Total,3 Bedrooms,1150,1600,1998,s,325,14.29%,48.84%,42.11%,22.73%
2029,Total,4 or more Bedrooms,1538,2000,2738,s,82,-29.82%,-24.88%,9.09%,200.00%
2029,House,Total,1180,1650,2600,s,181,17.86%,-4.35%,-55.32%,110.00%
2029,Flat/Unit,Total,690,798,999,110,"1,587",4.93%,22.69%,26.44%,-9.84%
2029,Flat/Unit,1 Bedroom,550,623,700,s,288,8.26%,20.87%,73.33%,-18.75%
2029,Flat/Unit,2 Bedrooms,725,800,913,63,"1,009",.00%,15.11%,5.00%,-10.00%
2029,Flat/Unit,3 Bedrooms,996,1563,1850,s,229,30.21%,60.26%,80.00%,.00%
2030,Total,Total,771,925,1415,106,"1,259",-5.13%,15.63%,-2.75%,1.92%
2030,Total,2 Bedrooms,735,800,929,54,600,-9.86%,11.89%,35.00%,8.00%
2030,Total,3 Bedrooms,995,1200,1650,s,259,-4.00%,9.09%,21.05%,-14.81%
2030,Total,4 or more Bedrooms,2375,2900,4063,s,203,-17.14%,-12.12%,-4.76%,53.85%
2030,House,Total,1475,2200,2988,s,273,2.33%,15.79%,-30.23%,20.00%
2030,House,4 or more Bedrooms,2325,2725,3850,s,172,-23.24%,-18.66%,-10.00%,50.00%
2030,Flat/Unit,Total,741,840,984,72,831,-4.00%,15.86%,10.77%,2.86%
2030,Flat/Unit,2 Bedrooms,723,800,923,46,526,-9.09%,14.29%,31.43%,9.52%
2030,Flat/Unit,3 Bedrooms,925,1100,1295,s,160,-8.33%,15.79%,6.25%,13.33%
2031,Total,Total,675,750,900,508,"7,118",-3.23%,20.00%,-16.72%,-17.53%
